pitcher,batter,events,launch_speed,launch_angle,spray_angle
462382,520471,out,88.2,32,-32.1528143448896
520980,405395,b1,81.9,5,44.0838163631705
579328,543807,out,97.6,10,-40.9752010034318
450306,656669,out,57.7,-28,-82.2713630040485
664776,622682,out,82.5,-54,15.6799536083063
677651,457708,b1,88.9,60,45.8940234994052
641778,457705,out,96.1,-11,0.31498187086702
467100,453923,b1,105.4,-2,45.6447805878231
592761,460075,b4,97.2,34,37.6700960038392
502239,425783,b1,93.7,-11,34.2853043106979
592789,518692,b1,93.6,3,31.1800099071488
599683,466320,b1,84.7,6,34.0646913198097
657610,544369,out,79.3,-21,39.0811533138658
453192,660829,out,65.3,9,17.8071941936882
519008,592669,b1,112.3,8,-26.5399041189027
608337,460086,b4,104.7,22,-7.16189940049965
542960,456124,out,93.2,8,-10.528397452872
592836,641355,out,77.1,-22,-15.5232497039757
471911,594988,out,88.8,-13,49.6638016183736
477569,457803,out,83.7,45,16.5308300183906
650633,666971,b1,83.8,19,25.4321669145962
621121,462101,b2,90.2,-13,-66.1268547935809
425844,605353,b1,104,8,5.9777415279072
502190,647304,b1,86.3,12,-35.4887236739877
608566,462101,out,78.6,-39,-30.9707600498865
642232,642133,b2,102.3,23,-15.7370050795361
622161,501981,out,83.2,42,-35.2319449222301
476451,456488,b4,101.1,20,-42.301186578537
592169,408252,out,80,69,54.4127541934684
592717,595909,out,85.4,1,35.129974576875
607644,677551,out,89.8,-6,-16.6419616008405
596057,516416,b1,106.5,9,-10.822336190927
642571,575929,b2,97.2,33,8.65168948819751
606930,572039,out,96.6,17,7.11755401767112
608328,460576,b1,110.3,12,5.48187439226937
548384,543333,out,109.8,-5,28.3648808422126
519166,455139,out,89.2,39,-21.1854970359398
642083,665489,out,110.1,-8,-15.2665939241167
607229,622168,out,63.5,-29,24.1063486158632
473879,471865,b2,69.6,44,-42.9856173272013
450729,543807,b1,105.7,4,-5.14146345590073
676840,607461,out,95.3,-18,-4.61191268639007
628711,622761,out,82.6,66,39.0853565379621
572955,516782,out,80.6,-17,-13.4871978979204
475054,476704,out,70.7,-16,39.3860095959399
601713,624424,out,82.6,-22,-7.63976203199594
641778,500874,out,80.2,46,44.2715154716224
543022,570267,out,82.6,5,-4.80956980051821
518876,642336,out,83.2,69,32.6426121451991
543339,656371,out,70.4,82,59.1254891582315
573046,518960,b1,92.9,15,8.1174108537515
527054,614177,out,94.1,-45,39.939532984087
548389,542255,out,82.9,-21,25.2362636469031
596057,452254,out,94.4,4,14.3822805078347
502042,435079,out,82.9,-21,-32.3526812523768
543359,656941,out,98.9,1,6.87285993039823
570240,608324,out,87.1,47,39.4869467707944
607644,593934,out,40.5,-40,26.9975805249181
533167,641313,out,81.5,-19,-35.7332631121057
459429,592791,out,86.5,28,-15.178053455464
621057,660620,out,96.4,-22,16.5529403517455
571521,542303,out,71.7,46,-7.7012800433573
663460,606115,out,69.2,57,35.3183415534945
608566,594809,b1,99.3,-21,6.72318228616387
664208,455104,out,111.4,3,-17.5010327125952
502190,460576,out,85.2,81,6.36560908942626
570632,606213,out,104.7,46,-7.55322259027979
543475,488726,out,95.6,21,-24.1238466312896
592468,642082,out,98.8,53,-9.00175512256131
664141,467793,b1,101.3,13,8.11597208639041
669160,592518,out,61,39,-28.6829618200862
518693,445988,b1,88.8,-3,-24.9066853647122
579328,605141,out,77.9,-9,-44.3306449642996
599683,500871,out,86.1,35,-39.8504191606698
519301,518792,b1,106.4,6,20.5629403504245
598264,452104,out,75.3,35,-2.63690680804225
677976,650402,out,102,-22,-33.6047322779942
605151,608369,out,102.2,16,0.601403169647628
501593,523253,b1,68.2,31,27.1191344075928
593974,630105,out,77.9,-5,26.0881934443573
450203,596019,out,104.5,4,35.4010969314582
547888,621466,out,69.3,-47,10.2319133109088
622503,519390,out,71.6,-65,34.6352833549961
592314,554430,out,71.6,-17,31.3718633395675
475115,592663,b3,93.8,1,-44.0929460585785
592767,488721,b1,92.4,-19,-43.1954789787308
593576,516782,out,91.9,23,25.1566579428822
446321,592696,out,96.7,-5,42.3137774926295
456167,572821,out,92.3,-8,-20.7154492601318
641729,641487,out,73,33,-28.4844529865797
677960,641658,out,90.7,44,31.1725765203343
663399,608700,out,84.6,69,65.8820377931714
500872,605141,b4,106.7,17,-45.2082194009833
445926,502481,out,90.1,29,-16.9142460833048
450172,592387,out,64.4,11,-49.5589280344234
606478,621002,out,73.1,60,-55.8707546518094
543557,543768,b2,102.6,-14,47.7194453868717
592332,572816,out,78.1,-53,-3.74298829568715
543272,605412,out,83.1,-7,-29.4633149479583
607374,641924,out,92.4,33,32.5416401068252
571476,575929,b4,105.4,26,-9.59628021792725
641745,650402,out,85.5,23,34.6470457269444
543606,541645,out,77.1,-19,-39.4797953512341
519144,607208,out,101.2,6,-31.8530319487864
501381,605480,b1,91.9,10,-24.1262384589838
607625,435559,b1,98.8,12,-33.3664972968578
471911,592696,out,91,44,-14.437253476459
543521,446359,out,93.2,-13,-26.1438661708761
547888,642133,out,75.2,-18,23.36874904245
452657,621020,out,92.2,-29,-47.7558391904871
641816,493114,b1,77,-4,2.07336813883266
642397,624577,b1,92.1,-19,-29.4861957689241
573186,541645,out,82.9,-21,34.4317300992914
663474,665489,out,86.9,58,45.6204715221201
605177,425783,out,90,32,-28.3569212320908
571578,575929,b1,81.1,16,5.00942606852328
641743,656555,out,93.4,64,-35.2512503266788
571858,624431,out,95,17,-32.3272686474864
656547,642708,out,67.8,-25,6.87559387389627
641482,572191,out,77.3,34,28.5784812476846
543699,571506,out,82.9,-21,45.3065844996869
623352,576397,out,100.7,28,28.5864351874666
593144,527038,out,88.2,-12,-36.3251711525738
543901,457708,out,80.5,34,-26.9148476218141
518774,657557,b2,109,11,-14.6721138911685
640470,663697,b1,70.9,21,39.7698839093915
527054,502110,out,91,23,29.090783114586
488748,624428,out,87.6,20,-3.80393555870649
595411,572816,out,70.6,-33,35.1530051504674
641871,660162,b1,76.1,10,-23.9529612037851
518876,663757,out,55.2,-74,30.2705437780876
453329,664023,out,103.4,8,37.0268613733224
605276,544369,out,75.1,12,51.153158584596
519443,624415,b1,87.5,17,20.5451910859938
543475,514888,b4,102.2,33,-22.7667924167217
623352,571657,out,100.1,71,-74.5641381125332
598271,475174,out,54.1,56,40.2925299606362
592644,666182,out,96.5,-23,3.30462262085433
500779,460075,b1,107.3,-2,-4.08051469095973
607536,606299,b1,87.3,20,-25.8953472588703
543475,572122,b4,104.9,30,7.01233515218548
592130,641313,out,81.8,37,2.318570840124
657024,605141,b1,100.2,-22,-4.23932282288952
519455,434158,out,87.8,-27,14.7260013200567
572888,605119,out,63.9,-39,-19.0315578151975
