"id","site","year","Ax","Ly","flCt","capsuleCt","nCapsulesHarvested","ovuleCt","embryoCt","nn1Dist","nn2Dist","nn3Dist","nn4Dist","nn5Dist","nn6Dist","nn7Dist","nn8Dist","nn9Dist","nn10Dist","nn1DistNotConsumed","nn2DistNotConsumed","nn3DistNotConsumed","nn4DistNotConsumed","nn5DistNotConsumed","nn6DistNotConsumed","nn7DistNotConsumed","nn8DistNotConsumed","nn9DistNotConsumed","nn10DistNotConsumed","fecundity","flCtNotConsumed","flCtUndamaged"
"LP430","sppw",2021,683210.232,191912.405,1,0,NA,NA,NA,1.16112574685061,2.6394501321176,3.57947999016735,4.54911079226546,4.62830595356107,4.67476395123791,4.83227172250482,5.11978368683979,5.40389572437974,7.80192700555057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP431","sppw",2021,683209.176,191909.986,1,0,NA,NA,NA,2.28347279380748,2.6394501321176,2.72050032162883,2.74479088457993,2.77623341959028,4.31732000207169,5.8841769177984,6.06916674674914,6.07623180926675,7.07131741615594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP432","sppw",2021,683206.892,191915.609,1,0,NA,NA,NA,0.0980306074552801,1.62223580282345,4.62830595356107,5.77026975103177,6.06916674674914,7.92907945475821,8.04382402841883,8.80118548833161,9.17623283271391,11.3797900244147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP433","sppw",2021,683206.799,191915.578,1,0,NA,NA,NA,0.0980306074552801,1.7024972833786,4.67476395123791,5.82002895179233,6.07623180926675,7.95440488031437,8.02337242064359,8.81153834470217,9.22091345801743,11.4683013999227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP434","sppw",2021,683207.74,191907.61,1,0,NA,NA,NA,2.75716321604425,2.77623341959028,3.73226472802732,5.05971323295305,5.40389572437974,5.43350292169317,5.87786934188582,6.36288684479944,8.02337242064359,8.04382402841883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP435","sppw",2021,683210.497,191907.58,1,0,NA,NA,NA,1.56054381549626,2.74479088457993,2.75716321604425,3.13979059809556,3.31185884365009,4.26783001069541,4.83227172250482,8.26482304707776,8.80118548833161,8.81153834470217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP436","sppw",2021,683211.943,191904.793,1,0,NA,NA,NA,3.13979059809556,4.23354059859873,4.59987412872265,5.05971323295305,5.8841769177984,7.03178640176796,7.80192700555057,8.26505444625836,11.9372717569633,11.9489313748041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP437","sppw",2021,683204.017,191902.45,1,0,NA,NA,NA,6.36288684479944,8.26482304707776,8.26505444625836,9.13272013146891,9.71012857793118,11.540486514884,11.7357679765467,11.789434804079,13.4195345671881,13.4694062972207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP438","sppw",2021,683190.298,191906.639,1,0,NA,NA,NA,11.1202669931957,11.4126208208398,11.5964551911207,14.3442909201184,15.2260030868025,15.6504944969792,16.5537655233043,17.469006983837,17.5977340018369,18.7090002404412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP439","sppw",2021,683188.161,191917.552,1,0,NA,NA,NA,0.334723766716623,0.655424290030735,4.40364212893185,5.46533814143139,7.132232469538,11.1202669931957,18.7422442626615,18.831505781564,19.2162732078805,19.683861536801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
